#{"t_start": 1743693151.637288, "env_id": "SuperMarioBros-v2"}
r,l,t
705.0,109,33.227916
705.0,109,35.599494
705.0,109,37.198958
705.0,109,38.711251
705.0,109,40.342
741.0,80,97.878278
741.0,80,99.052801
741.0,80,100.403821
741.0,80,101.796669
741.0,80,103.216461
680.0,121,160.077916
680.0,121,161.949214
680.0,121,163.753937
680.0,121,165.557001
680.0,121,167.593787
177.0,4051,282.497173
177.0,4051,334.861595
177.0,4051,400.144797
177.0,4051,464.681306
177.0,4051,528.87622
680.0,121,585.29375
680.0,121,587.056394
680.0,121,588.887596
680.0,121,590.797992
680.0,121,592.794478
680.0,121,648.379965
680.0,121,650.027386
680.0,121,651.770566
680.0,121,653.397606
680.0,121,655.132454
732.0,82,709.431106
732.0,82,710.435756
732.0,82,711.539752
732.0,82,712.744807
732.0,82,713.885912
186.0,6016,838.66554
186.0,6016,886.352636
186.0,6016,928.588646
186.0,6016,971.019389
186.0,6016,1013.236052
680.0,121,1041.18077
680.0,121,1042.090599
680.0,121,1043.034123
680.0,121,1043.951546
680.0,121,1044.858427
694.0,111,1072.581116
694.0,111,1073.289736
694.0,111,1074.063626
694.0,111,1074.87226
694.0,111,1075.714742
-87.0,6016,1146.052582
-87.0,6016,1190.064045
-87.0,6016,1233.152506
-87.0,6016,1275.767761
-87.0,6016,1318.123107
752.0,2062,1360.049042
752.0,2062,1375.139187
752.0,2062,1390.262745
752.0,2062,1405.226623
752.0,2062,1420.306997
741.0,80,1448.290942
741.0,80,1448.777567
741.0,80,1449.259302
741.0,80,1449.749431
741.0,80,1450.252193
739.0,81,1478.266095
739.0,81,1478.773953
739.0,81,1479.277522
739.0,81,1479.791095
739.0,81,1480.295877
1803.0,173,1508.700713
1803.0,173,1509.766522
1803.0,173,1510.821717
1803.0,173,1511.996335
1803.0,173,1513.216866
741.0,80,1541.231955
741.0,80,1541.718962
741.0,80,1542.207708
741.0,80,1542.696065
741.0,80,1543.187536
1442.0,2129,1585.241007
1442.0,2129,1600.812289
1442.0,2129,1616.504227
1442.0,2129,1632.074704
1442.0,2129,1647.688546
210.0,6016,1716.968989
210.0,6016,1760.423639
210.0,6016,1803.772968
210.0,6016,33961.231159
210.0,6016,34016.059921
741.0,80,34043.316946
741.0,80,34043.844519
741.0,80,34044.417568
741.0,80,34045.010011
741.0,80,34045.593619
-87.0,6016,34116.778459
-87.0,6016,34161.544476
-87.0,6016,34206.170148
-87.0,6016,34251.027269
-87.0,6016,34295.576623
446.0,2071,34337.732961
446.0,2071,34352.641921
446.0,2071,34367.678541
446.0,2071,34382.692057
446.0,2071,34397.720012
739.0,91,34425.368853
739.0,91,34425.954149
739.0,91,34426.529831
739.0,91,34427.117234
739.0,91,34427.729329
-87.0,6016,34498.445742
-87.0,6016,34542.155068
-87.0,6016,34584.892869
-87.0,6016,34628.545727
-87.0,6016,34670.88698
737.0,83,34698.961709
737.0,83,34699.466709
737.0,83,34699.978783
737.0,83,34700.484859
737.0,83,34700.993485
786.0,6016,34772.408221
786.0,6016,34816.746567
786.0,6016,34861.518626
786.0,6016,34907.698194
786.0,6016,35213.199401
737.0,83,35256.449428
737.0,83,35257.401112
737.0,83,35258.348813
737.0,83,35259.300715
737.0,83,35260.254887
738.0,85,35310.619213
738.0,85,35311.822341
738.0,85,35312.988411
738.0,85,35314.014741
738.0,85,35315.193249
82.0,6016,35445.311302
82.0,6016,35520.021906
82.0,6016,35595.736406
82.0,6016,35671.346843
82.0,6016,35747.256671
-92.0,6016,35826.094279
-92.0,6016,35871.896247
-92.0,6016,35913.748342
-92.0,6016,35956.01311
-92.0,6016,35998.353908
196.0,6016,36068.26918
196.0,6016,36112.027889
196.0,6016,36155.850151
196.0,6016,36200.256962
196.0,6016,36278.837133
737.0,91,36331.380764
737.0,91,36332.613411
737.0,91,36333.849426
737.0,91,36335.083024
737.0,91,36336.302864
704.0,105,36391.00004
704.0,105,36392.370806
704.0,105,36393.823888
704.0,105,36395.243286
704.0,105,36396.687679
709.0,101,36449.015161
709.0,101,36450.379629
709.0,101,36451.897737
709.0,101,36453.252693
709.0,101,36454.630721
402.0,6016,36586.220058
402.0,6016,36666.176695
402.0,6016,36745.341511
402.0,6016,36825.756721
402.0,6016,36906.309211
737.0,91,36956.545504
737.0,91,36957.833331
737.0,91,36959.093134
737.0,91,36960.353652
737.0,91,36961.92622
466.0,6016,37092.027142
466.0,6016,37171.09583
466.0,6016,37249.39896
466.0,6016,37327.63899
466.0,6016,37406.919799
737.0,84,37459.437708
737.0,84,37460.725994
737.0,84,37461.969837
737.0,84,37463.164965
737.0,84,37464.345281
741.0,85,37515.961137
741.0,85,37517.632781
741.0,85,37518.805146
741.0,85,37520.011081
741.0,85,37521.129933
735.0,91,37572.854028
735.0,91,37574.044091
735.0,91,37575.196481
735.0,91,37576.444252
735.0,91,37578.208628
357.0,4041,37681.827094
357.0,4041,37734.992441
357.0,4041,37787.883187
357.0,4041,37841.0104
357.0,4041,37894.073062
1090.0,123,37946.859388
1090.0,123,37948.474524
1090.0,123,37950.154712
1090.0,123,37951.765311
1090.0,123,37953.561903
82.0,6016,38084.20203
82.0,6016,38161.88535
82.0,6016,38240.446976
82.0,6016,38318.880817
82.0,6016,38397.705474
1098.0,124,38450.609228
1098.0,124,38452.428096
1098.0,124,38454.188764
1098.0,124,38455.875002
1098.0,124,38457.590664
68.0,6016,38588.069969
68.0,6016,38666.267752
68.0,6016,38745.195979
68.0,6016,38822.846118
68.0,6016,38901.230015
737.0,91,38955.883907
737.0,91,38957.184531
737.0,91,38958.564751
737.0,91,38959.805976
737.0,91,38961.042091
737.0,83,39013.642552
737.0,83,39014.818079
737.0,83,39015.997613
737.0,83,39017.081896
737.0,83,39018.395077
735.0,87,39072.409641
735.0,87,39073.62055
735.0,87,39074.770558
735.0,87,39076.005137
735.0,87,39077.178712
196.0,6016,39207.950098
196.0,6016,39286.646215
196.0,6016,39365.194323
196.0,6016,39443.841838
196.0,6016,39522.940286
530.0,6016,39654.514225
530.0,6016,39734.298835
530.0,6016,39813.80143
530.0,6016,39893.512468
530.0,6016,39973.555279
735.0,89,40025.979774
735.0,89,40027.17658
735.0,89,40028.377532
735.0,89,40029.608501
735.0,89,40030.777612
1805.0,177,40084.259095
1805.0,177,40086.545696
1805.0,177,40088.88996
1805.0,177,40091.348451
1805.0,177,40093.786816
242.0,6016,40221.454818
242.0,6016,40300.813547
242.0,6016,40379.349475
242.0,6016,40458.078837
242.0,6016,40537.440679
402.0,6016,40667.890399
402.0,6016,40747.537151
402.0,6016,40827.750505
402.0,6016,40907.119346
402.0,6016,40987.468288
82.0,6016,41117.369083
82.0,6016,41196.429233
82.0,6016,41274.568721
82.0,6016,41354.210493
82.0,6016,41432.345914
242.0,6016,41561.964575
242.0,6016,41641.064068
242.0,6016,41721.161782
242.0,6016,41800.361588
242.0,6016,41880.046959
-92.0,6016,42008.950444
-92.0,6016,42087.211845
-92.0,6016,42165.079127
-92.0,6016,42243.987743
-92.0,6016,42322.190618
402.0,6016,42452.575343
402.0,6016,42532.593119
402.0,6016,42612.014008
402.0,6016,42691.478864
402.0,6016,42770.402559
716.0,101,42822.089396
716.0,101,42823.410546
716.0,101,42824.752313
716.0,101,42826.133027
716.0,101,42827.493016
903.0,4085,42932.54331
903.0,4085,42986.452399
903.0,4085,43040.435841
903.0,4085,43093.800032
903.0,4085,43147.974164
352.0,6016,43276.924029
352.0,6016,43355.087203
352.0,6016,43433.912168
352.0,6016,43513.581397
352.0,6016,43592.5771
187.0,4041,43695.934676
187.0,4041,43748.681446
187.0,4041,43800.849388
187.0,4041,43847.95181
187.0,4041,43880.433812
73.0,6016,43985.665246
73.0,6016,44068.74122
73.0,6016,44149.542193
73.0,6016,44231.533764
73.0,6016,44315.09471
402.0,6016,44452.185549
402.0,6016,44534.288784
402.0,6016,44618.356888
402.0,6016,44700.987696
402.0,6016,44784.851047
867.0,4071,44891.681403
867.0,4071,44949.934455
867.0,4071,45006.547776
867.0,4071,45063.57036
867.0,4071,45122.921183
690.0,99,45176.336889
690.0,99,45177.864898
690.0,99,45179.512907
690.0,99,45181.12717
690.0,99,45182.79133
505.0,4042,45291.347898
505.0,4042,45342.664198
505.0,4042,45384.81167
505.0,4042,45415.12678
505.0,4042,45444.716918
82.0,6016,45518.646506
82.0,6016,45564.459597
82.0,6016,45610.86006
82.0,6016,45656.385368
82.0,6016,45703.060049
724.0,96,45732.744026
724.0,96,45733.373874
724.0,96,45734.00676
724.0,96,45734.651162
724.0,96,45735.275493
1068.0,4070,45795.501952
1068.0,4070,45827.120054
1068.0,4070,45858.334808
1068.0,4070,45889.382176
1068.0,4070,45920.004959
402.0,6016,45993.853054
402.0,6016,46039.728095
402.0,6016,46083.862851
402.0,6016,46128.571793
402.0,6016,46175.368174
242.0,6016,46248.864136
242.0,6016,46295.250835
242.0,6016,46341.804676
242.0,6016,46388.398204
242.0,6016,46434.426946
402.0,6016,46508.282037
402.0,6016,46553.508762
402.0,6016,46598.955861
402.0,6016,46644.435812
402.0,6016,46690.800903
1161.0,2153,46735.745856
1161.0,2153,46752.639816
1161.0,2153,46769.072725
1161.0,2153,46785.633058
1161.0,2153,46801.25488
402.0,6016,46874.924552
402.0,6016,46920.552419
402.0,6016,46966.038939
402.0,6016,47011.453375
402.0,6016,47056.940818
-87.0,6016,47128.454215
-87.0,6016,47173.384263
-87.0,6016,47217.934087
-87.0,6016,47261.956101
-87.0,6016,47305.975265
179.0,4046,47363.90818
179.0,4046,47394.538891
179.0,4046,47424.551955
179.0,4046,47454.216218
179.0,4046,47484.907583
1796.0,221,47513.445795
1796.0,221,47515.18719
1796.0,221,47516.948005
1796.0,221,47518.680885
1796.0,221,47520.46764
82.0,6016,47593.047347
82.0,6016,47637.310643
82.0,6016,47681.822164
82.0,6016,47726.395137
82.0,6016,47771.1365
402.0,6016,47844.601296
402.0,6016,47892.238639
402.0,6016,47938.416761
402.0,6016,47983.484029
402.0,6016,48029.336242
1558.0,188,48057.654412
1558.0,188,48058.882044
1558.0,188,48060.23683
1558.0,188,48061.705874
1558.0,188,48063.261342
2037.0,224,48092.218771
2037.0,224,48093.769843
2037.0,224,48095.528971
2037.0,224,48097.360898
2037.0,224,48099.058008
1507.0,4159,48158.84821
1507.0,4159,48189.919272
1507.0,4159,48220.846388
1507.0,4159,48252.307177
1507.0,4159,48284.037685
2115.0,252,48314.660862
2115.0,252,48316.34298
2115.0,252,48318.348899
2115.0,252,48320.423322
2115.0,252,48322.688536
402.0,6016,48398.060766
402.0,6016,48444.570951
402.0,6016,48492.102438
402.0,6016,48538.309084
402.0,6016,48583.486238
1803.0,173,48612.812429
1803.0,173,48613.945341
1803.0,173,48615.034147
1803.0,173,48616.134611
1803.0,173,48617.358348
1813.0,177,48645.074715
1813.0,177,48646.474308
1813.0,177,48647.834711
