#{"t_start": 1743693148.5009587, "env_id": "SuperMarioBros-v2"}
r,l,t
1655.0,2465,33.762195
2060.0,477,54.877603
2625.0,827,72.757896
2207.0,746,88.555678
1958.0,415,98.415589
1168.0,264,112.503978
645.0,155,114.928482
1661.0,1230,140.566869
678.0,122,145.660064
1859.0,442,153.137888
1525.0,364,170.851647
677.0,120,173.741759
1486.0,865,192.521564
1487.0,255,199.139748
1885.0,330,205.389236
2133.0,609,218.364775
1203.0,270,224.839959
2682.0,507,542.481195
1096.0,158,545.646271
1496.0,239,551.945476
2292.0,448,561.839783
1484.0,413,568.655886
1845.0,402,578.180626
1911.0,433,597.035538
1693.0,812,615.545421
2333.0,571,627.500487
1075.0,227,631.163256
1972.0,622,644.124168
1445.0,227,658.570716
1644.0,302,664.139354
1922.0,557,677.06754
1454.0,326,683.346972
1869.0,366,691.418585
1090.0,154,694.400924
2720.0,933,719.8064
1475.0,256,724.661717
693.0,112,728.561249
1477.0,198,731.896439
1093.0,166,735.004835
2056.0,421,745.002083
2000.0,763,762.037114
2038.0,499,1017.067384
2486.0,538,1023.587634
1279.0,240,1025.458989
1089.0,159,1028.058902
1434.0,248,1030.022509
2003.0,298,1033.768487
2168.0,387,1036.782262
2656.0,537,1043.255971
1492.0,234,1051.289448
1982.0,320,1053.882056
1994.0,378,1058.350978
1985.0,426,1063.156485
1853.0,374,1067.449625
1462.0,291,1069.696884
1908.0,332,1073.670953
2221.0,371,1082.079988
1214.0,279,1084.32103
2651.0,428,1088.931807
2699.0,747,1097.793686
2152.0,514,1103.180496
1794.0,275,1105.296023
1977.0,303,1324.90999
2200.0,401,1328.135262
1554.0,242,1331.364722
1484.0,291,1334.929471
2652.0,473,1338.715131
672.0,110,1340.946686
1500.0,282,1343.213266
2483.0,457,1423.521326
1627.0,253,1427.308529
2101.0,396,1430.564309
1452.0,314,1434.486543
1493.0,255,1436.563017
1460.0,221,1439.793545
2463.0,416,1444.463465
1556.0,232,1446.328071
3303.0,605,1455.148875
1849.0,303,1459.176596
1793.0,340,1463.499182
2317.0,403,1466.639689
1120.0,143,1469.080924
2960.0,479,1474.24713
1666.0,192,1475.845154
1446.0,252,1477.914397
2083.0,384,1485.106321
2308.0,501,1490.876354
1548.0,274,1494.50808
3070.0,467,1499.568094
1515.0,176,1500.959309
2461.0,374,1505.308905
1482.0,235,1507.138431
2560.0,346,1517.025316
3067.0,639,1524.226727
1931.0,379,1528.667045
2225.0,349,1532.725346
2219.0,315,1535.235508
1492.0,229,1538.41501
2152.0,264,1540.48837
1657.0,273,1546.411587
2647.0,645,1553.377645
2295.0,544,1559.468893
1223.0,196,1561.134979
1087.0,155,1563.634752
1102.0,144,1564.744513
1443.0,211,1566.371747
1597.0,290,1570.018482
2689.0,440,1652.136928
2244.0,358,1655.603987
2083.0,340,1659.797769
1488.0,216,1662.810395
2801.0,444,1666.340611
1734.0,385,1670.863624
2287.0,301,1674.608094
1795.0,296,1676.951837
1880.0,299,34022.94016
1829.0,250,34024.92247
2284.0,297,34028.716754
1865.0,333,34032.652547
1122.0,159,34033.949142
2064.0,388,34038.283194
