#{"t_start": 1743693148.5832803, "env_id": "SuperMarioBros-v2"}
r,l,t
1518.0,413,7.180076
1084.0,256,10.732966
1033.0,236,12.750111
1384.0,550,18.563879
2657.0,1613,56.687885
2205.0,588,70.99986
1444.0,312,76.006565
1501.0,633,90.113497
2194.0,509,108.437208
1200.0,1678,146.946624
1057.0,186,149.975772
1334.0,1050,182.145343
2518.0,780,199.947941
2047.0,351,206.792242
1409.0,389,215.408273
1637.0,407,224.686685
2189.0,498,542.192193
1698.0,349,550.882155
1469.0,322,556.096914
2324.0,588,568.361087
2122.0,396,577.754326
2073.0,393,586.407303
1850.0,395,605.773065
1855.0,466,615.320953
1066.0,170,618.187087
1889.0,297,625.602679
1280.0,228,629.204674
2590.0,522,640.041507
2511.0,928,668.911867
1866.0,332,674.344844
1427.0,242,680.910141
1880.0,342,689.09945
1611.0,394,695.894547
2216.0,441,705.137737
1993.0,644,724.41803
1078.0,178,729.350145
1183.0,196,732.802228
1717.0,255,739.970037
1607.0,338,745.904883
1231.0,240,751.867882
2697.0,501,762.551893
2147.0,442,1016.777029
1449.0,206,1018.839677
2421.0,493,1024.625987
1533.0,283,1028.174581
1477.0,410,1031.352648
2232.0,430,1036.155923
2074.0,358,1040.3315
1883.0,385,1050.398421
2236.0,417,1053.806734
1888.0,420,1058.629792
1856.0,407,1063.2573
2169.0,381,1067.637496
1539.0,313,1070.051078
2628.0,525,1079.54575
2622.0,573,1086.834082
1793.0,334,1089.468517
2313.0,408,1094.193013
2271.0,462,1099.220007
1450.0,258,1101.243457
1255.0,220,1104.329007
2063.0,453,1325.137766
2056.0,334,1327.792434
2247.0,369,1332.032086
1089.0,165,1333.311398
1459.0,190,1336.118401
1913.0,439,1340.989215
1512.0,233,1342.874941
1096.0,226,1346.127101
1956.0,364,1424.426496
1499.0,292,1428.372517
1981.0,410,1433.04973
1882.0,277,1435.348826
2264.0,516,1440.973472
1102.0,149,1443.528178
2067.0,318,1446.03902
1861.0,304,1449.818421
1804.0,273,1454.554616
1675.0,361,1459.145505
704.0,96,1460.022797
2579.0,362,1464.401919
1601.0,274,1466.519477
1574.0,258,1469.855727
1998.0,292,1472.146858
2159.0,297,1475.979282
1984.0,300,1479.870174
1717.0,323,1485.15934
2001.0,347,1489.585276
2812.0,558,1495.581165
2592.0,451,1500.503706
2671.0,434,1505.321306
1618.0,258,1507.340698
1414.0,348,1517.343827
2421.0,537,1523.636797
1438.0,291,1527.37271
1974.0,354,1530.17675
1780.0,324,1534.057071
1475.0,230,1535.870773
1440.0,200,1538.842613
2025.0,281,1541.021586
1480.0,246,1546.740692
2451.0,860,1555.603809
2562.0,476,1561.082658
1890.0,316,1564.81728
2408.0,476,1569.909163
1890.0,303,1572.244593
1463.0,177,1652.394047
1809.0,272,1655.05517
1065.0,173,1657.993246
1646.0,270,1660.142078
1846.0,387,1664.455543
1119.0,148,1665.654019
1220.0,224,1668.82556
2702.0,450,1673.861241
2618.0,332,1676.492932
1616.0,295,34022.44081
1758.0,414,34027.19226
1708.0,216,34028.918698
1609.0,322,34032.75062
1082.0,137,34033.85182
1476.0,196,34035.35479
1878.0,369,34039.521474
2018.0,369,34043.837017
1824.0,277,34048.873267
1091.0,151,34051.657315
1493.0,277,34053.890296
2297.0,339,34058.132721
2560.0,387,34062.647253
2894.0,426,34066.074648
1800.0,299,34069.877677
1883.0,265,34073.306418
2370.0,346,34298.762142
1481.0,211,34302.316305
1504.0,237,34304.488022
1845.0,259,34307.960097
2164.0,403,34311.179482
1096.0,134,34313.719784
1448.0,194,34315.284688
2288.0,324,34319.322915
1718.0,239,34321.297029
2472.0,412,34325.875957
2668.0,610,34406.799613
1830.0,295,34410.517125
1817.0,260,34412.544675
1924.0,264,34415.972657
2662.0,509,34421.28613
2279.0,331,34423.995678
2435.0,384,34431.534013
1894.0,248,34435.360507
2654.0,407,34438.651344
1684.0,279,34442.208628
1896.0,282,34444.422978
1852.0,220,34447.497931
1493.0,199,34449.065997
1662.0,261,34452.466432
2171.0,393,34457.02565
1518.0,234,34674.96104
2826.0,400,34679.975353
2020.0,343,34682.689579
2863.0,509,34688.02849
2291.0,376,34692.263114
703.0,104,34693.099812
2528.0,429,34698.135489
2606.0,560,34706.804581
1574.0,289,34710.588629
2689.0,388,34715.108407
1976.0,287,34718.264849
1884.0,374,34722.658609
2270.0,369,34726.922791
2157.0,332,34729.680433
1883.0,280,35218.349236
3018.0,514,35227.632642
2814.0,512,35236.353812
1613.0,293,35240.817737
2287.0,419,35248.106582
2124.0,293,35253.86554
1518.0,206,35256.921228
2719.0,393,35268.631078
1932.0,308,35275.642176
1477.0,195,35278.62228
1478.0,224,35282.327778
1832.0,237,35288.209337
1774.0,305,35293.26564
1723.0,250,35299.105144
2679.0,447,35308.388057
3546.0,543,35324.755627
2283.0,341,35332.104713
2087.0,310,35337.352754
2701.0,407,35346.474169
2207.0,358,35354.593752
1561.0,231,35358.419281
2700.0,396,35367.308257
1564.0,267,35751.955493
2353.0,400,35760.838849
3761.0,544,35768.00981
2447.0,384,35772.626066
2311.0,393,35777.303105
2669.0,407,35783.050128
2155.0,352,36002.201642
3095.0,509,36007.745116
1434.0,229,36010.882851
2139.0,360,36013.669054
2600.0,507,36019.342261
2524.0,445,36024.09129
1497.0,172,36026.872538
2262.0,433,36285.536217
2116.0,365,36293.846291
2259.0,422,36302.403411
2448.0,510,36313.001313
2243.0,482,36323.039783
2346.0,349,36330.724608
1471.0,248,36341.352411
2355.0,488,36351.466926
2372.0,322,36358.751681
1077.0,137,36360.986096
1965.0,381,36369.322188
1660.0,219,36372.828714
1730.0,261,36381.208391
1916.0,337,36386.569564
1882.0,259,36399.896251
1100.0,155,36403.178678
2556.0,453,36412.731215
2170.0,288,36419.336151
1954.0,319,36424.607824
3598.0,520,36434.756602
1943.0,444,36443.918441
1976.0,329,36457.950519
1852.0,333,36463.354626
2315.0,310,36470.916162
2044.0,326,36478.11916
1924.0,263,36482.350504
1579.0,240,36488.636915
2691.0,340,36494.018668
1662.0,218,36499.905998
1623.0,281,36504.441565
1487.0,275,36911.04495
1601.0,270,36915.458358
1882.0,319,36922.897493
2961.0,538,36933.361253
1870.0,266,36937.94078
1506.0,257,36944.066373
3607.0,479,36953.967113
1899.0,248,36958.026571
2471.0,422,36973.32526
1505.0,251,36979.733592
1518.0,178,36982.787633
2020.0,261,36988.964058
2505.0,472,36996.709654
1881.0,377,37004.675081
1457.0,242,37010.75147
1879.0,316,37015.772878
2381.0,457,37419.577241
1461.0,254,37425.6194
1513.0,268,37430.148103
2031.0,322,37437.330199
1877.0,467,37447.055117
1755.0,421,37455.714644
1555.0,251,37460.36601
2505.0,523,37476.882459
1459.0,176,37479.678919
1895.0,266,37485.905812
1478.0,214,37489.597159
2315.0,400,37498.005107
2974.0,470,37507.699732
2949.0,544,37524.682467
2116.0,354,37532.255229
2064.0,301,37537.465957
3221.0,580,37550.918884
2383.0,434,37557.829378
1644.0,315,37565.083378
2170.0,334,37572.36501
2373.0,468,37588.442225
1502.0,201,37591.585146
1869.0,245,37595.805607
2654.0,600,37609.380595
1984.0,303,37614.584309
1471.0,205,37619.914275
2282.0,348,37625.699142
1700.0,289,37897.259925
1799.0,249,37901.245929
2065.0,251,37907.390738
2022.0,360,37915.462695
2253.0,357,37921.247878
2768.0,674,37936.038997
1090.0,136,37938.207838
2363.0,345,37944.249642
3021.0,546,37965.57557
1625.0,259,37969.583692
2084.0,323,37977.125819
2160.0,331,37982.337464
1499.0,184,37987.51772
1448.0,271,37991.847418
1107.0,164,37996.660371
2948.0,424,38003.713777
1684.0,332,38404.217945
2237.0,299,38411.386735
1546.0,316,38416.360348
2278.0,341,38424.360227
2145.0,400,38432.71342
2506.0,338,38438.559016
1837.0,284,38445.013771
1227.0,182,38447.941971
1568.0,245,38464.634008
2079.0,345,38470.369875
2016.0,349,38478.017417
1888.0,296,38485.45112
2143.0,383,38491.61166
1602.0,299,38498.696499
1273.0,314,38505.814901
1473.0,209,38509.157849
1066.0,178,38512.311378
1436.0,244,38910.133576
2411.0,350,38918.065565
1074.0,158,38922.648992
1632.0,237,38926.450308
1473.0,270,38933.094707
2301.0,349,38938.913925
1468.0,201,38944.146227
2340.0,324,38949.698744
2658.0,383,38964.232371
2605.0,414,38972.873847
2383.0,334,38980.781624
2557.0,357,38986.540549
2242.0,312,38993.766226
1569.0,242,38997.706415
2054.0,530,39010.710094
2251.0,328,39021.881792
1499.0,243,39027.809529
2526.0,423,39034.564124
1554.0,225,39040.407792
2963.0,375,39048.573353
2587.0,374,39054.854229
2691.0,389,39064.908946
1995.0,313,39072.044835
1490.0,183,39081.184196
2481.0,509,39091.486074
1576.0,262,39097.991685
1901.0,285,39102.645184
2209.0,276,39109.127788
2442.0,316,39114.619905
1849.0,291,39121.361295
2221.0,593,39527.305437
3123.0,562,39538.826761
3126.0,637,39551.338411
2131.0,336,39558.693323
1641.0,265,39565.364675
2193.0,584,39576.988648
2004.0,318,39981.245966
2436.0,334,39988.756179
1453.0,198,39991.81908
1466.0,200,39997.231384
2914.0,480,40007.125814
2108.0,301,40012.229344
1982.0,269,40018.669959
1465.0,288,40023.268115
2381.0,382,40037.668471
2446.0,371,40045.830514
2003.0,322,40050.977956
2434.0,356,40058.898918
2080.0,347,40066.422949
1857.0,282,40070.919537
2355.0,288,40078.021036
1587.0,226,40081.58636
2588.0,339,40101.179816
1929.0,246,40107.358871
3081.0,637,40119.7497
2789.0,531,40130.231792
2253.0,315,40135.492706
2892.0,308,40142.40381
2248.0,363,40545.211735
2001.0,344,40550.706698
3187.0,444,40560.063885
2352.0,351,40567.918022
1703.0,247,40571.894927
2677.0,448,40581.442542
2075.0,327,40588.937943
1492.0,242,40991.662206
1451.0,217,40997.250871
1576.0,262,41001.44135
2026.0,315,41008.90489
1840.0,243,41012.708338
1472.0,201,41018.256112
699.0,101,41019.817595
2256.0,384,41027.908561
3204.0,565,41039.113348
1877.0,264,41437.41888
1880.0,285,41444.257399
1493.0,189,41447.326886
1894.0,432,41456.508243
2307.0,386,41464.678106
2542.0,351,41472.573067
1827.0,290,41477.148587
2019.0,307,41484.652222
1453.0,277,41885.420693
2388.0,393,41893.947738
2523.0,405,41902.4609
1475.0,236,41906.582525
1805.0,254,41912.596932
2476.0,407,41921.304199
1474.0,197,41924.451379
2436.0,366,41932.209071
2353.0,351,42329.362285
2155.0,273,42335.65906
1509.0,215,42339.601234
1098.0,152,42344.056283
2810.0,403,42350.499738
2156.0,296,42357.451885
2373.0,405,42365.814279
1587.0,200,42369.323492
1484.0,202,42374.541267
1064.0,158,42774.272995
1513.0,269,42778.618367
1039.0,193,42783.648843
1895.0,254,42787.709308
1285.0,244,42793.707762
1903.0,282,42798.174088
1064.0,174,42802.886017
1836.0,271,42807.439265
